filename,class_name,width,height,file_size,mean_brightness,std_brightness,contrast,mean_r,mean_g,mean_b,std_r,std_g,std_b,perceptual_hash
BA_615482.jpg,basophil,360,363,27676,195.36966380981536,38.840175080469116,38.840175080469116,218.0480486685032,187.0409397000306,181.02000306091216,45.16496387249743,50.87053336134229,21.630833848993095,a1cacc6d7621cf07
BA_363451.jpg,basophil,360,363,26010,201.78474645444342,36.72447976715404,36.72447976715404,226.51643709825527,193.2902280379553,185.54757422711967,42.60456470831079,48.56138399928446,20.026871722600504,a6da98c73294c8af
BA_907484.jpg,basophil,360,363,27294,197.50104071013163,41.92506892320753,41.92506892320753,220.9359351086624,187.68438169574534,183.88280532598714,49.40079332511133,55.805961611784674,21.585222033853302,f6dcca446151c3ad
BA_451736.jpg,basophil,360,363,27746,201.1769079685746,39.6708097704729,39.6708097704729,224.4335705540251,194.33891184573002,184.75824150596878,46.666332588170214,52.66198173224041,20.521148789164144,b3999c25669dd2b0
BA_348770.jpg,basophil,360,363,25582,201.6320018365473,39.704098801196906,39.704098801196906,225.59754361799816,193.1468089990817,186.15165289256197,47.2628272956823,51.97557248564791,21.049562278281424,f3c0dc6a61999b4a
BA_513500.jpg,basophil,360,363,28167,195.11646005509638,39.75234329179711,39.75234329179711,217.63814661769206,186.3141873278237,181.3970462197735,45.61596842267616,54.12537580672271,20.61433153599349,f1bc982564cfe258
BA_27002.jpg,basophil,360,363,25283,198.7761759004183,40.38860523405556,40.38860523405556,219.84224058769513,191.80560912151822,184.68067799204164,48.3970704501838,52.28738009302049,21.49446010515726,b7a199b3301b8fa4
BA_674593.jpg,basophil,360,363,23231,204.6185771860014,37.44247304599107,37.44247304599107,228.8554331190695,198.0878405264769,186.9124579124579,42.64341893863916,49.76286425642766,20.982581746539633,e2cbcd306621da5e
BA_672755.jpg,basophil,360,363,30161,191.2376339149066,40.874715185163886,40.874715185163886,214.3658249158249,180.29517906336088,179.05189776553414,46.59266066955278,53.8139875289977,23.31602992632995,e2d19c3063899edd
BA_746935.jpg,basophil,360,363,23635,203.5867641057035,38.87639969725113,38.87639969725113,228.17377563513926,195.36009335782063,187.2264233241506,44.238873415788,52.59677832671324,20.664548485948398,e7cb8961311dc699
BA_728520.jpg,basophil,360,363,33302,184.4717681869197,41.770133168589176,41.770133168589176,207.06568717477808,170.97672941536578,175.37288797061524,48.607096369012574,56.48409186820877,21.62549994327887,a5358eaa24bc534f
BA_533802.jpg,basophil,360,363,25746,200.83383838383838,36.756592680530574,36.756592680530574,226.73115243342517,191.22659167431894,184.54377104377105,41.625215706740995,49.93216682666808,19.9122123741877,e54c9b5d6561968c
BA_545506.jpg,basophil,360,363,30759,192.7212605856545,37.20728944029208,37.20728944029208,216.0185644322008,181.28791704928068,180.8573002754821,42.33938708610234,51.216168488167504,19.38637773505102,b46cca936070afe6
BA_738477.jpg,basophil,360,363,29287,194.99833435363735,42.97442317575119,42.97442317575119,218.57988980716254,184.73793235384144,181.67718089990817,50.073420684665244,56.787872048211305,22.961955258597943,b7b8c94a64eea60c
BA_484573.jpg,basophil,360,363,23258,201.87375267829813,37.56406461274619,37.56406461274619,224.8772421181512,194.58565197428834,186.15836394245486,44.14277700997385,48.55477196690323,20.59573710097698,b34cd9b172389aac
BA_612971.jpg,basophil,360,363,27476,193.00443577186002,43.780982449668954,43.780982449668954,215.60476737067646,182.75683348637895,180.65170645852464,50.56441049228462,57.93379518256514,23.85307292566495,b294ce2c64f703b9
BA_689200.jpg,basophil,360,363,28937,196.91212886440158,39.92581372312554,39.92581372312554,220.76242730333638,186.91175390266298,183.06220538720538,46.305009668516796,52.664232774514375,21.939464627587064,b28acf2f2313d354
BA_468972.jpg,basophil,360,363,23207,201.19698245077035,37.90896623971797,37.90896623971797,226.62506121824305,193.04491888582797,183.92096724823998,43.739352731650754,49.402224805974825,21.812338188706242,a68b983673899b5c
